date,Daily SJ
2010-11-05,-0.20984797354358292
2010-11-08,-0.07540271862269644
2010-11-09,-0.016904370913673906
2010-11-10,-0.05228652811234442
2010-11-11,-0.046689277605708325
2010-11-12,-0.009722634489986814
2010-11-15,-0.04788608057298705
2010-11-16,-0.040605333776787836
2010-11-17,0.03686033946387371
2010-11-18,-0.03207158525026962
2010-11-19,-0.08708877355160483
2010-11-22,-0.08459372239175131
2010-11-24,0.15496928276601385
2010-11-25,-0.045167970137188415
2010-11-26,-0.020606581970008447
2010-11-29,-0.037826371783211396
2010-11-30,-0.01480154608551083
2010-12-01,-0.012588975679344755
2010-12-02,-0.10813734693499594
2010-12-03,-0.015876059102337452
2010-12-06,0.0021914921880892765
2010-12-07,0.03364349583267805
2010-12-08,0.035514838917591315
2010-12-09,0.0068576323135093814
2010-12-10,0.015089674130951981
2010-12-13,0.01887212067947519
2010-12-14,0.023602693415961513
2010-12-15,0.019050633676985836
2010-12-16,0.0279448985240905
2010-12-17,0.0271718155660517
2010-12-20,0.04300019025036983
2010-12-21,0.025412353086750782
2010-12-22,0.031164345937217567
2010-12-24,0.02926446827082539
2010-12-27,0.060527492600805734
2010-12-28,0.05516992033418626
2010-12-29,0.05619570504823608
2010-12-30,0.06330273239093684
